epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,113.875,0.69483,0.40444,0.84651,0.98478,1,0.995,0.59257,1.55347,0.49263,1.06696,0.0006536,0.0006536,0.0006536
138,114.713,0.67657,0.40601,0.83827,0.98481,1,0.995,0.60864,1.61771,0.52937,1.08611,0.0006437,0.0006437,0.0006437
139,115.524,0.58994,0.38464,0.8191,0.98481,1,0.995,0.60864,1.61771,0.52937,1.08611,0.0006338,0.0006338,0.0006338
140,116.359,0.67437,0.38778,0.83018,0.98515,1,0.995,0.60705,1.71585,0.57321,1.11306,0.0006239,0.0006239,0.0006239
141,117.173,0.72016,0.40319,0.87526,0.98515,1,0.995,0.60705,1.71585,0.57321,1.11306,0.000614,0.000614,0.000614
142,117.991,0.6814,0.40785,0.81162,0.98523,1,0.995,0.60585,1.72268,0.60742,1.12039,0.0006041,0.0006041,0.0006041
143,118.834,0.6682,0.40269,0.84538,0.98523,1,0.995,0.60585,1.72268,0.60742,1.12039,0.0005942,0.0005942,0.0005942
144,119.702,0.65171,0.40457,0.81586,0.98508,1,0.995,0.60493,1.68299,0.59785,1.12595,0.0005843,0.0005843,0.0005843
145,120.538,0.64223,0.39384,0.85594,0.98508,1,0.995,0.60493,1.68299,0.59785,1.12595,0.0005744,0.0005744,0.0005744
146,121.372,0.68803,0.39776,0.83975,0.98509,1,0.995,0.65205,1.6017,0.59059,1.14419,0.0005645,0.0005645,0.0005645
147,122.181,0.60042,0.39072,0.80292,0.98509,1,0.995,0.65205,1.6017,0.59059,1.14419,0.0005546,0.0005546,0.0005546
148,123.015,0.59899,0.40318,0.81787,0.98538,1,0.995,0.6325,1.60548,0.52169,1.17647,0.0005447,0.0005447,0.0005447
149,123.851,0.6113,0.36934,0.80961,0.98538,1,0.995,0.6325,1.60548,0.52169,1.17647,0.0005348,0.0005348,0.0005348
150,124.687,0.63136,0.39106,0.83659,0.98519,1,0.995,0.59605,1.63066,0.57917,1.18381,0.0005249,0.0005249,0.0005249
151,125.49,0.66057,0.40111,0.83696,0.98519,1,0.995,0.59605,1.63066,0.57917,1.18381,0.000515,0.000515,0.000515
152,126.308,0.63762,0.39437,0.80129,0.98524,1,0.995,0.64767,1.5393,0.58667,1.1535,0.0005051,0.0005051,0.0005051
153,127.122,0.58546,0.37177,0.82369,0.98524,1,0.995,0.64767,1.5393,0.58667,1.1535,0.0004952,0.0004952,0.0004952
154,127.972,0.61254,0.36095,0.83777,0.98536,1,0.995,0.60864,1.54468,0.61532,1.11435,0.0004853,0.0004853,0.0004853
155,128.804,0.60967,0.37205,0.80323,0.98536,1,0.995,0.60864,1.54468,0.61532,1.11435,0.0004754,0.0004754,0.0004754
156,129.652,0.53973,0.35607,0.77604,0.98531,1,0.995,0.64012,1.58529,0.55086,1.1083,0.0004655,0.0004655,0.0004655
157,130.489,0.6086,0.36222,0.83341,0.98531,1,0.995,0.64012,1.58529,0.55086,1.1083,0.0004556,0.0004556,0.0004556
158,131.343,0.59691,0.37951,0.83789,0.98542,1,0.995,0.64172,1.54591,0.57038,1.1156,0.0004457,0.0004457,0.0004457
159,132.161,0.59091,0.3632,0.8337,0.98542,1,0.995,0.64172,1.54591,0.57038,1.1156,0.0004358,0.0004358,0.0004358
160,133.005,0.59872,0.37056,0.82136,0.98522,1,0.995,0.70814,1.44473,0.54868,1.11211,0.0004259,0.0004259,0.0004259
161,133.846,0.58249,0.36636,0.80308,0.98522,1,0.995,0.70814,1.44473,0.54868,1.11211,0.000416,0.000416,0.000416
162,134.723,0.62887,0.37583,0.83986,0.98508,1,0.995,0.66911,1.38657,0.49587,1.09677,0.0004061,0.0004061,0.0004061
163,135.562,0.61043,0.36503,0.82048,0.98508,1,0.995,0.66911,1.38657,0.49587,1.09677,0.0003962,0.0003962,0.0003962
164,136.419,0.57836,0.35374,0.81341,0.98531,1,0.995,0.63798,1.3994,0.54303,1.112,0.0003863,0.0003863,0.0003863
165,137.261,0.58002,0.35024,0.82394,0.98531,1,0.995,0.63798,1.3994,0.54303,1.112,0.0003764,0.0003764,0.0003764
166,138.136,0.49164,0.33177,0.78997,0.98499,1,0.995,0.66631,1.42043,0.54014,1.13092,0.0003665,0.0003665,0.0003665
